"LBXSATSI.Code.or.Value","LBXSATSI.Value.Description","LBXSATSI.Count","LBXSATSI.Cumulative","LBXSATSI.Skip.to.Item"
"4 to 1163","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
