"FFQ0063A.Code.or.Value","FFQ0063A.Value.Description","FFQ0063A.Count","FFQ0063A.Cumulative","FFQ0063A.Skip.to.Item"
1,"Almost never or never",705,705,NA
2,"About 1/4 of the time",705,1410,NA
3,"About 1/2 of the time",1003,2413,NA
4,"About 3/4 of the time",741,3154,NA
5,"Almost always or always",2783,5937,NA
88,"Blank",530,6467,NA
99,"Error",5,6472,NA
