"AUDTYL52.Code.or.Value","AUDTYL52.Value.Description","AUDTYL52.Count","AUDTYL52.Cumulative","AUDTYL52.Skip.to.Item"
"0 to 3.16","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
