"DSDSUPID.Code.or.Value","DSDSUPID.Value.Description","DSDSUPID.Count","DSDSUPID.Cumulative","DSDSUPID.Skip.to.Item"
"Supplement ID Number","Value was recorded",7617,7617,NA
"7777777777","Refused",5,7622,NA
"9999999999","Don't know",17,7639,NA
"< blank >","Missing",0,7639,NA
