"DID350.Code.or.Value","DID350.Value.Description","DID350.Count","DID350.Cumulative","DID350.Skip.to.Item"
"1 to 30","Range of Values",712,712,NA
"0","None",168,880,NA
"7777","Refused",0,880,NA
"9999","Don't know",2,882,NA
".","Missing",8015,8897,NA
