"AUXR1K2L.Code.or.Value","AUXR1K2L.Value.Description","AUXR1K2L.Count","AUXR1K2L.Cumulative","AUXR1K2L.Skip.to.Item"
"15 to 40","Range of Values",4,4,NA
"666","No response",1,5,NA
"888","Could not obtain",0,5,NA
".","Missing",3029,3034,NA
