"DS1TNIAC.Code.or.Value","DS1TNIAC.Value.Description","DS1TNIAC.Count","DS1TNIAC.Cumulative","DS1TNIAC.Skip.to.Item"
"0.078 to 1563.25","Range of Values",1215,1215,NA
".","Missing",8329,9544,NA
