"DR2TP225.Code.or.Value","DR2TP225.Value.Description","DR2TP225.Count","DR2TP225.Cumulative","DR2TP225.Skip.to.Item"
"0 to 1.216","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
