"URXUCS.Code.or.Value","URXUCS.Value.Description","URXUCS.Count","URXUCS.Cumulative","URXUCS.Skip.to.Item"
"0.07 to 229.9","Range of Values",2464,2464,NA
".","Missing",83,2547,NA
