"DR2ISELE.Code.or.Value","DR2ISELE.Value.Description","DR2ISELE.Count","DR2ISELE.Cumulative","DR2ISELE.Skip.to.Item"
"0 to 461.8","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
