"LBXVDP.Code.or.Value","LBXVDP.Value.Description","LBXVDP.Count","LBXVDP.Cumulative","LBXVDP.Skip.to.Item"
"0.0071 to 0.022","Range of Values",2840,2840,NA
".","Missing",575,3415,NA
