"BIXS009K.Code.or.Value","BIXS009K.Value.Description","BIXS009K.Count","BIXS009K.Cumulative","BIXS009K.Skip.to.Item"
"301.07 to 1069.88","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
