"OSQ090f.Code.or.Value","OSQ090f.Value.Description","OSQ090f.Count","OSQ090f.Cumulative","OSQ090f.Skip.to.Item"
"1","Yes",17,17,"OSQ120f"
"2","No",1,18,""
"7","Refused",0,18,"OSQ120f"
"9","Don't know",0,18,"OSQ120f"
".","Missing",4961,4979,""
