"BIXS050K.Code.or.Value","BIXS050K.Value.Description","BIXS050K.Count","BIXS050K.Cumulative","BIXS050K.Skip.to.Item"
"176.32 to 984.42","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
