"URXUCD.Code.or.Value","URXUCD.Value.Description","URXUCD.Count","URXUCD.Cumulative","URXUCD.Skip.to.Item"
"0.025 to 5.06","Range of Values",2528,2528,NA
".","Missing",77,2605,NA
