"AUXLOEXC.Code.or.Value","AUXLOEXC.Value.Description","AUXLOEXC.Count","AUXLOEXC.Cumulative","AUXLOEXC.Skip.to.Item"
"1","Yes (checkbox checked)",425,425,NA
"2","No (checkbox unchecked)",3483,3908,NA
".","Missing",592,4500,NA
