"DR1IIRON.Code.or.Value","DR1IIRON.Value.Description","DR1IIRON.Count","DR1IIRON.Cumulative","DR1IIRON.Skip.to.Item"
"0 to 107.59","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
