"BAXPFC31.Code.or.Value","BAXPFC31.Value.Description","BAXPFC31.Count","BAXPFC31.Cumulative","BAXPFC31.Skip.to.Item"
"1","Pass",2410,2410,"BAXPFC41"
"2","Dnp(did not pass)",55,2465,""
".","Missing",719,3184,""
