"DXDRLTOT.Code.or.Value","DXDRLTOT.Value.Description","DXDRLTOT.Count","DXDRLTOT.Cumulative","DXDRLTOT.Skip.to.Item"
"2854.6 to 36990.9","Range of Values",4819,4819,NA
".","Missing",961,5780,NA
