"WBXA041.Code.or.Value","WBXA041.Value.Description","WBXA041.Count","WBXA041.Cumulative","WBXA041.Skip.to.Item"
"-1.5089 to 0.9999","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
