"BAQ020B.Code.or.Value","BAQ020B.Value.Description","BAQ020B.Count","BAQ020B.Cumulative","BAQ020B.Skip.to.Item"
"1","Yes",595,595,"BAQ030b"
"2","No",325,920,""
"7","Refused",0,920,""
"9","Don't know",2,922,""
".","Missing",2564,3486,""
