"DR1TPHOS.Code.or.Value","DR1TPHOS.Value.Description","DR1TPHOS.Count","DR1TPHOS.Cumulative","DR1TPHOS.Skip.to.Item"
"0 to 7398","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
