"SPQ100.Code.or.Value","SPQ100.Value.Description","SPQ100.Count","SPQ100.Cumulative","SPQ100.Skip.to.Item"
"1","Yes",29,29,"SPAENA"
"2","No",6682,6711,""
"7","Refused",0,6711,"SPAENA"
"9","Don't know",1,6712,"SPAENA"
".","Missing",1031,7743,""
