"OPXSF2.Code.or.Value","OPXSF2.Value.Description","OPXSF2.Count","OPXSF2.Cumulative","OPXSF2.Skip.to.Item"
"0","Absent",43,43,NA
"2","Present",2461,2504,NA
".","Missing",430,2934,NA
