"DS2ACTSS.Code.or.Value","DS2ACTSS.Value.Description","DS2ACTSS.Count","DS2ACTSS.Cumulative","DS2ACTSS.Skip.to.Item"
"0 to 15","Range of Values",5546,5546,NA
"999","Don't know",3,5549,NA
".","Missing",99,5648,NA
