"DR2BWATZ.Code.or.Value","DR2BWATZ.Value.Description","DR2BWATZ.Count","DR2BWATZ.Cumulative","DR2BWATZ.Skip.to.Item"
"0 to 11520","Range of Values",7027,7027,NA
".","Missing",2517,9544,NA
