"LBXSAL.Code.or.Value","LBXSAL.Value.Description","LBXSAL.Count","LBXSAL.Cumulative","LBXSAL.Skip.to.Item"
"1.2 to 5.7","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
