"DRQ370BQ.Code.or.Value","DRQ370BQ.Value.Description","DRQ370BQ.Count","DRQ370BQ.Cumulative","DRQ370BQ.Skip.to.Item"
"1 to 50","Range of Values",2381,2381,NA
".","Missing",6901,9282,NA
