"LBXLYC.Code.or.Value","LBXLYC.Value.Description","LBXLYC.Count","LBXLYC.Cumulative","LBXLYC.Skip.to.Item"
"0.34 to 81.99","Range of Values",7265,7265,NA
"0.21","Fill Value of Limit of Detection",3,7268,NA
".","Missing",714,7982,NA
