"AUXLR103.Code.or.Value","AUXLR103.Value.Description","AUXLR103.Count","AUXLR103.Cumulative","AUXLR103.Skip.to.Item"
"-49 to 43","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
