"DR1TSODI.Code.or.Value","DR1TSODI.Value.Description","DR1TSODI.Count","DR1TSODI.Cumulative","DR1TSODI.Skip.to.Item"
"31 to 18053","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
