"DSQTCALC.Code.or.Value","DSQTCALC.Value.Description","DSQTCALC.Count","DSQTCALC.Cumulative","DSQTCALC.Skip.to.Item"
"0.7 to 4050","Range of Values",2849,2849,NA
".","Missing",7300,10149,NA
