"AUXLR251.Code.or.Value","AUXLR251.Value.Description","AUXLR251.Count","AUXLR251.Cumulative","AUXLR251.Skip.to.Item"
"-4 to 51","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
