"SMQ050Q.Code.or.Value","SMQ050Q.Value.Description","SMQ050Q.Count","SMQ050Q.Cumulative","SMQ050Q.Skip.to.Item"
"1 to 66","Range of Values",1474,1474,NA
"77777","Refused",0,1474,NA
"99999","Don't know",8,1482,NA
".","Missing",5663,7145,NA
