"DS2ITFAT.Code.or.Value","DS2ITFAT.Value.Description","DS2ITFAT.Count","DS2ITFAT.Cumulative","DS2ITFAT.Skip.to.Item"
"0.02 to 28","Range of Values",544,544,NA
".","Missing",5104,5648,NA
