"WBXA043.Code.or.Value","WBXA043.Value.Description","WBXA043.Count","WBXA043.Cumulative","WBXA043.Skip.to.Item"
"-1.5323 to 0.9994","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
