"LBXHGB.Code.or.Value","LBXHGB.Value.Description","LBXHGB.Count","LBXHGB.Cumulative","LBXHGB.Skip.to.Item"
"6.4 to 19.5","Range of Values",8544,8544,NA
".","Missing",878,9422,NA
