"OPXSQUAL.Code.or.Value","OPXSQUAL.Value.Description","OPXSQUAL.Count","OPXSQUAL.Cumulative","OPXSQUAL.Skip.to.Item"
"0","Excellent",34,34,NA
"1","Good",176,210,NA
"2","Fair",68,278,NA
"3","Poor",9,287,NA
"4","Ungradable",10,297,NA
".","Missing",2637,2934,NA
