"OSD110e.Code.or.Value","OSD110e.Value.Description","OSD110e.Count","OSD110e.Cumulative","OSD110e.Skip.to.Item"
"28 to 34","Range of Values",2,2,NA
"85","85 or older",0,2,NA
"777","Refused",0,2,NA
"999","Don't know",0,2,NA
".","Missing",4977,4979,NA
