"PAD615.Code.or.Value","PAD615.Value.Description","PAD615.Count","PAD615.Cumulative","PAD615.Skip.to.Item"
"10 to 840","Range of Values",1346,1346,NA
"7777","Refused",0,1346,NA
"9999","Don't know",4,1350,NA
".","Missing",7905,9255,NA
