"LBXVDP.Code.or.Value","LBXVDP.Value.Description","LBXVDP.Count","LBXVDP.Cumulative","LBXVDP.Skip.to.Item"
"0.0057 to 0.0057","Range of Values",1364,1364,NA
".","Missing",125,1489,NA
