"URDUBELC.Code.or.Value","URDUBELC.Value.Description","URDUBELC.Count","URDUBELC.Cumulative","URDUBELC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2848,2848,NA
".","Missing",93,2941,NA
