"RFXT170.Code.or.Value","RFXT170.Value.Description","RFXT170.Count","RFXT170.Cumulative","RFXT170.Skip.to.Item"
"1486 to 1495","Range of Values",51049,51049,NA
".","Missing",27,51076,NA
