"OPDDSID.Code.or.Value","OPDDSID.Value.Description","OPDDSID.Count","OPDDSID.Cumulative","OPDDSID.Skip.to.Item"
"0","No",2247,2247,NA
"1","Yes",91,2338,NA
".","Missing",596,2934,NA
