"DIQ230.Code.or.Value","DIQ230.Value.Description","DIQ230.Count","DIQ230.Cumulative","DIQ230.Skip.to.Item"
"1","1 year ago or less",276,276,NA
"2","More than 1 year ago but no more than 2 years ago",64,340,NA
"3","More than 2 years ago but no more than 5 years ago",86,426,NA
"4","More than 5 years ago",85,511,NA
"5","Never",330,841,NA
"7","Refused",0,841,NA
"9","Don't know",12,853,NA
".","Missing",8722,9575,NA
