"DIQ300S.Code.or.Value","DIQ300S.Value.Description","DIQ300S.Count","DIQ300S.Cumulative","DIQ300S.Skip.to.Item"
"88 to 255","Range of Values",456,456,NA
"7777","Refused",3,459,NA
"9999","Don't know",273,732,NA
".","Missing",9038,9770,NA
