"DSQIVK.Code.or.Value","DSQIVK.Value.Description","DSQIVK.Count","DSQIVK.Cumulative","DSQIVK.Skip.to.Item"
"0.996 to 5000","Range of Values",1450,1450,NA
".","Missing",6835,8285,NA
