"OPDSSUBH.Code.or.Value","OPDSSUBH.Value.Description","OPDSSUBH.Count","OPDSSUBH.Cumulative","OPDSSUBH.Skip.to.Item"
"0","No",2343,2343,NA
"1","Yes",1,2344,NA
".","Missing",590,2934,NA
