"URDOP5LC.Code.or.Value","URDOP5LC.Value.Description","URDOP5LC.Count","URDOP5LC.Cumulative","URDOP5LC.Skip.to.Item"
"0","At or above the detection limit",1361,1361,NA
"1","Below lower detection limit",1065,2426,NA
".","Missing",79,2505,NA
