"VIXPLA.Code.or.Value","VIXPLA.Value.Description","VIXPLA.Count","VIXPLA.Cumulative","VIXPLA.Skip.to.Item"
"0 to 180","Range of Values",1948,1948,NA
"888","Could not obtain",44,1992,NA
".","Missing",4988,6980,NA
