"DSQISFAT.Code.or.Value","DSQISFAT.Value.Description","DSQISFAT.Count","DSQISFAT.Cumulative","DSQISFAT.Skip.to.Item"
"0.002 to 9","Range of Values",207,207,NA
".","Missing",8910,9117,NA
