"DXXPT75Y.Code.or.Value","DXXPT75Y.Value.Description","DXXPT75Y.Count","DXXPT75Y.Cumulative","DXXPT75Y.Skip.to.Item"
"118.9 to 332","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
