"DRXTS180.Code.or.Value","DRXTS180.Value.Description","DRXTS180.Count","DRXTS180.Cumulative","DRXTS180.Skip.to.Item"
"0 to 45.77","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
