"DS1ANCNT.Code.or.Value","DS1ANCNT.Value.Description","DS1ANCNT.Count","DS1ANCNT.Cumulative","DS1ANCNT.Skip.to.Item"
"0 to 2","Range of Values",8510,8510,NA
".","Missing",828,9338,NA
