"DR2TS100.Code.or.Value","DR2TS100.Value.Description","DR2TS100.Count","DR2TS100.Cumulative","DR2TS100.Skip.to.Item"
"0 to 10.13","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
