"DUQ210.Code.or.Value","DUQ210.Value.Description","DUQ210.Count","DUQ210.Cumulative","DUQ210.Skip.to.Item"
"0 to 54","Range of Values",1989,1989,NA
"777","Refused",1,1990,NA
"999","Don't know",1,1991,NA
".","Missing",3066,5057,NA
