"DR2TCOPP.Code.or.Value","DR2TCOPP.Value.Description","DR2TCOPP.Count","DR2TCOPP.Cumulative","DR2TCOPP.Skip.to.Item"
"0.043 to 37.571","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
