"BPQ020.Code.or.Value","BPQ020.Value.Description","BPQ020.Count","BPQ020.Cumulative","BPQ020.Skip.to.Item"
"1","Yes",1532,1532,""
"2","No",4408,5940,"BPQ055"
"7","Refused",0,5940,"BPQ055"
"9","Don't know",11,5951,"BPQ055"
".","Missing",93,6044,""
