"LBXPLP.Code.or.Value","LBXPLP.Value.Description","LBXPLP.Count","LBXPLP.Cumulative","LBXPLP.Skip.to.Item"
"2 to 1740","Range of Values",8311,8311,NA
".","Missing",1129,9440,NA
