"DR1BWATZ.Code.or.Value","DR1BWATZ.Value.Description","DR1BWATZ.Count","DR1BWATZ.Cumulative","DR1BWATZ.Skip.to.Item"
"0 to 9537.75","Range of Values",9754,9754,NA
".","Missing",499,10253,NA
