"WTIREP21.Code.or.Value","WTIREP21.Value.Description","WTIREP21.Count","WTIREP21.Cumulative","WTIREP21.Skip.to.Item"
"0 to 238551.11865","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
