"AUXU4KR.Code.or.Value","AUXU4KR.Value.Description","AUXU4KR.Count","AUXU4KR.Cumulative","AUXU4KR.Skip.to.Item"
"-10 to 120","Range of Values",2726,2726,NA
"666","No response",5,2731,NA
"888","Could not obtain",13,2744,NA
".","Missing",290,3034,NA
