"RHD230.Code.or.Value","RHD230.Value.Description","RHD230.Count","RHD230.Cumulative","RHD230.Skip.to.Item"
"0 to 13","Range of Values",1090,1090,NA
"77","Refused",0,1090,NA
"99","Don't know",0,1090,NA
".","Missing",2427,3517,NA
