"RFXC124.Code.or.Value","RFXC124.Value.Description","RFXC124.Count","RFXC124.Cumulative","RFXC124.Skip.to.Item"
"-4.855 to 6.432","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
